example_id                                    | status | run_time        |
--------------------------------------------- | ------ | --------------- |
./spec/actions/api/sign_up_spec.rb[1:1:1]     | passed | 0.004 seconds   |
./spec/actions/api/sign_up_spec.rb[1:1:2]     | passed | 0.0038 seconds  |
./spec/actions/api/sign_up_spec.rb[1:2:1]     | passed | 0.19096 seconds |
./spec/actions/articles/create_spec.rb[1:1:1] | passed | 0.0297 seconds  |
./spec/actions/articles/create_spec.rb[1:2:1] | passed | 0.39673 seconds |
./spec/actions/articles/create_spec.rb[1:3:1] | passed | 0.00594 seconds |
./spec/actions/articles/create_spec.rb[1:4:1] | passed | 0.00479 seconds |
./spec/actions/articles/index_spec.rb[1:2]    | passed | 0.31616 seconds |
./spec/actions/articles/index_spec.rb[1:3:1]  | passed | 0.39202 seconds |
./spec/actions/articles/show_spec.rb[1:1:1]   | passed | 0.01232 seconds |
./spec/actions/articles/show_spec.rb[1:1:2]   | passed | 1.03 seconds    |
./spec/actions/articles/show_spec.rb[1:2:1]   | passed | 0.02004 seconds |
./spec/actions/projects/create_spec.rb[1:1:1] | passed | 0.02041 seconds |
./spec/actions/projects/create_spec.rb[1:2:1] | passed | 0.45332 seconds |
./spec/actions/projects/create_spec.rb[1:3:1] | passed | 0.00439 seconds |
./spec/actions/projects/create_spec.rb[1:4:1] | passed | 0.00515 seconds |
./spec/actions/projects/index_spec.rb[1:2]    | passed | 0.04992 seconds |
./spec/actions/projects/index_spec.rb[1:3:1]  | passed | 1.76 seconds    |
./spec/actions/projects/show_spec.rb[1:1:1]   | passed | 0.01885 seconds |
./spec/actions/projects/show_spec.rb[1:1:2]   | passed | 1.66 seconds    |
./spec/actions/projects/show_spec.rb[1:2:1]   | passed | 0.03205 seconds |
./spec/requests/root_spec.rb[1:1]             | passed | 0.00416 seconds |
./spec/requests/root_spec.rb[1:2:1]           | passed | 0.00323 seconds |
./spec/requests/root_spec.rb[1:2:2]           | passed | 0.00363 seconds |
./spec/requests/root_spec.rb[1:2:3]           | passed | 0.00705 seconds |
./spec/requests/root_spec.rb[1:3:1]           | passed | 0.0045 seconds  |
